,Customer_ID,custcare_Mean,new_cell,area,creditcd
0,1000014,0.0,Y,CENTRAL-SOUTH TEXAS AREA,N
1,1000016,1.0,N,DALLAS AREA,Y
2,1000021,0.333333333,U,TENNESSEE AREA,Y
3,1000023,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,N
4,1000029,0.0,N,NEW ENGLAND AREA,Y
5,1000031,0.0,N,MIDWEST AREA,N
6,1000034,0.0,Y,MIDWEST AREA,Y
7,1000051,0.666666667,N,TENNESSEE AREA,Y
8,1000061,0.0,N,MIDWEST AREA,N
9,1000072,0.0,N,DALLAS AREA,Y
10,1000076,9.666666667,Y,CENTRAL-SOUTH TEXAS AREA,Y
11,1000092,3.333333333,U,MIDWEST AREA,Y
12,1000094,0.0,N,OHIO AREA,Y
13,1000096,0.333333333,Y,DALLAS AREA,Y
14,1000118,0.0,Y,DALLAS AREA,Y
15,1000132,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
16,1000154,4.0,N,DALLAS AREA,Y
17,1000158,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
18,1000162,0.333333333,N,CENTRAL-SOUTH TEXAS AREA,Y
19,1000175,0.0,Y,NORTHWEST-ROCKY MOUNTAIN AREA,Y
20,1000176,0.333333333,N,CENTRAL-SOUTH TEXAS AREA,Y
21,1000182,0.0,N,DALLAS AREA,Y
22,1000184,0.0,N,SOUTHWEST AREA,Y
23,1000187,0.0,Y,MIDWEST AREA,Y
24,1000190,0.333333333,Y,CENTRAL-SOUTH TEXAS AREA,Y
25,1000206,0.0,N,CENTRAL-SOUTH TEXAS AREA,N
26,1000211,0.0,Y,HOUSTON AREA,Y
27,1000213,0.333333333,N,DALLAS AREA,N
28,1000220,0.0,N,SOUTHWEST AREA,Y
29,1000222,0.0,N,DALLAS AREA,N
30,1000223,0.0,U,DALLAS AREA,N
31,1000232,0.0,N,MIDWEST AREA,N
32,1000235,0.0,N,OHIO AREA,Y
33,1000269,6.333333333,Y,CENTRAL-SOUTH TEXAS AREA,Y
34,1000291,0.0,Y,DALLAS AREA,Y
35,1000297,0.0,U,CENTRAL-SOUTH TEXAS AREA,Y
36,1000299,0.0,Y,SOUTHWEST AREA,Y
37,1000309,3.666666667,Y,PHILADELPHIA AREA,Y
38,1000321,1.333333333,Y,HOUSTON AREA,N
39,1000334,0.0,Y,HOUSTON AREA,Y
40,1000346,0.0,N,MIDWEST AREA,Y
41,1000347,0.666666667,N,DALLAS AREA,Y
42,1000349,0.0,N,NORTHWEST-ROCKY MOUNTAIN AREA,N
43,1000354,0.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
44,1000364,3.666666667,Y,NORTHWEST-ROCKY MOUNTAIN AREA,Y
45,1000368,0.0,Y,PHILADELPHIA AREA,Y
46,1000379,0.0,N,SOUTHWEST AREA,N
