,Customer_ID,custcare_Mean,new_cell,area,creditcd
4000,1039600,2.666666667,Y,DALLAS AREA,N
4001,1039603,0.0,U,MIDWEST AREA,Y
4002,1039635,0.0,N,DC-MARYLAND-VIRGINIA AREA,N
4003,1039648,0.0,U,NORTH FLORIDA AREA,Y
4004,1039662,0.333333333,N,HOUSTON AREA,Y
4005,1039670,2.666666667,N,HOUSTON AREA,N
4006,1039684,0.0,U,TENNESSEE AREA,Y
4007,1039702,0.0,U,MIDWEST AREA,Y
4008,1039716,4.333333333,U,NORTH FLORIDA AREA,N
4009,1039721,0.0,Y,CHICAGO AREA,Y
4010,1039735,0.0,Y,SOUTH FLORIDA AREA,N
4011,1039745,9.333333333,U,GREAT LAKES AREA,Y
4012,1039748,0.0,U,LOS ANGELES AREA,Y
4013,1039769,0.0,U,NORTH FLORIDA AREA,Y
4014,1039778,1.0,Y,NEW ENGLAND AREA,N
4015,1039785,2.333333333,U,DC-MARYLAND-VIRGINIA AREA,Y
4016,1039787,0.333333333,U,DC-MARYLAND-VIRGINIA AREA,N
4017,1039788,2.0,U,CALIFORNIA NORTH AREA,Y
4018,1039790,0.0,U,SOUTH FLORIDA AREA,Y
4019,1039816,0.0,U,CHICAGO AREA,N
4020,1039820,0.333333333,U,CHICAGO AREA,Y
4021,1039833,0.0,Y,MIDWEST AREA,N
4022,1039887,0.0,Y,NEW YORK CITY AREA,Y
4023,1039895,0.0,N,LOS ANGELES AREA,Y
4024,1039901,0.0,U,OHIO AREA,Y
4025,1039906,3.0,U,NEW YORK CITY AREA,N
4026,1039907,0.666666667,Y,ATLANTIC SOUTH AREA,Y
4027,1039927,0.0,U,NEW ENGLAND AREA,N
4028,1039950,0.666666667,U,NORTH FLORIDA AREA,Y
4029,1039975,0.0,Y,NORTHWEST-ROCKY MOUNTAIN AREA,Y
4030,1039978,0.0,U,NEW YORK CITY AREA,Y
4031,1039992,0.0,N,GREAT LAKES AREA,Y
4032,1040020,11.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
4033,1040027,2.0,U,SOUTHWEST AREA,N
4034,1040048,2.0,U,NEW YORK CITY AREA,Y
4035,1040055,0.333333333,U,ATLANTIC SOUTH AREA,Y
4036,1040084,0.0,U,NEW YORK CITY AREA,Y
4037,1040088,1.333333333,Y,NORTH FLORIDA AREA,Y
4038,1040090,0.0,U,LOS ANGELES AREA,Y
4039,1040092,0.333333333,Y,CENTRAL-SOUTH TEXAS AREA,Y
4040,1040103,0.333333333,Y,DC-MARYLAND-VIRGINIA AREA,Y
4041,1040104,0.0,U,ATLANTIC SOUTH AREA,Y
4042,1040114,0.0,U,NORTHWEST-ROCKY MOUNTAIN AREA,Y
4043,1040128,0.0,U,SOUTH FLORIDA AREA,Y
4044,1040133,0.0,U,SOUTHWEST AREA,Y
4045,1040142,0.0,Y,TENNESSEE AREA,N
4046,1040153,0.0,Y,PHILADELPHIA AREA,N
4047,1040155,0.0,U,NEW ENGLAND AREA,N
4048,1040159,14.66666667,U,CENTRAL-SOUTH TEXAS AREA,N
