,Customer_ID,custcare_Mean,new_cell,area,creditcd
3000,1029736,1.0,U,MIDWEST AREA,Y
3001,1029760,0.0,Y,CALIFORNIA NORTH AREA,Y
3002,1029763,0.0,U,PHILADELPHIA AREA,Y
3003,1029764,0.0,Y,MIDWEST AREA,Y
3004,1029772,0.0,U,CHICAGO AREA,Y
3005,1029780,0.0,U,GREAT LAKES AREA,Y
3006,1029785,25.0,U,CHICAGO AREA,N
3007,1029790,0.333333333,U,CHICAGO AREA,Y
3008,1029811,0.333333333,U,OHIO AREA,Y
3009,1029816,2.333333333,Y,SOUTH FLORIDA AREA,Y
3010,1029821,0.333333333,N,DC-MARYLAND-VIRGINIA AREA,Y
3011,1029831,0.0,U,NEW ENGLAND AREA,Y
3012,1029851,1.666666667,U,CHICAGO AREA,N
3013,1029856,0.333333333,U,LOS ANGELES AREA,N
3014,1029912,1.666666667,U,CALIFORNIA NORTH AREA,Y
3015,1029917,0.0,Y,TENNESSEE AREA,Y
3016,1029923,0.0,Y,CALIFORNIA NORTH AREA,Y
3017,1029940,0.0,N,CALIFORNIA NORTH AREA,Y
3018,1029968,0.0,Y,SOUTH FLORIDA AREA,Y
3019,1029972,4.666666667,U,NORTHWEST-ROCKY MOUNTAIN AREA,Y
3020,1029989,2.0,U,CHICAGO AREA,Y
3021,1030002,0.0,U,SOUTH FLORIDA AREA,Y
3022,1030015,0.0,U,MIDWEST AREA,Y
3023,1030016,0.0,U,NEW ENGLAND AREA,Y
3024,1030017,0.0,U,CHICAGO AREA,N
3025,1030027,0.0,U,CALIFORNIA NORTH AREA,N
3026,1030037,0.0,Y,MIDWEST AREA,Y
3027,1030057,18.33333333,Y,NEW YORK CITY AREA,Y
3028,1030082,0.0,U,GREAT LAKES AREA,Y
3029,1030092,0.0,U,DC-MARYLAND-VIRGINIA AREA,Y
3030,1030093,0.0,U,CHICAGO AREA,Y
3031,1030103,3.666666667,N,NEW YORK CITY AREA,N
3032,1030111,1.666666667,N,DALLAS AREA,Y
3033,1030114,5.666666667,U,LOS ANGELES AREA,Y
3034,1030127,0.0,N,TENNESSEE AREA,Y
3035,1030136,1.0,N,NEW YORK CITY AREA,N
3036,1030157,0.0,U,OHIO AREA,Y
3037,1030161,7.333333333,U,LOS ANGELES AREA,N
3038,1030162,0.0,Y,ATLANTIC SOUTH AREA,Y
3039,1030171,0.0,U,SOUTHWEST AREA,Y
3040,1030182,0.0,U,NEW YORK CITY AREA,N
3041,1030191,0.0,Y,NEW YORK CITY AREA,Y
3042,1030195,0.0,U,GREAT LAKES AREA,N
3043,1030198,3.0,Y,CENTRAL-SOUTH TEXAS AREA,Y
3044,1030228,0.0,U,ATLANTIC SOUTH AREA,Y
3045,1030241,0.0,U,NORTHWEST-ROCKY MOUNTAIN AREA,Y
3046,1030263,3.0,Y,OHIO AREA,
3047,1030274,0.0,U,HOUSTON AREA,Y
3048,1030277,0.0,U,NEW YORK CITY AREA,N
3049,1030293,0.0,U,MIDWEST AREA,N
3050,1030310,0.0,U,NORTHWEST-ROCKY MOUNTAIN AREA,Y
3051,1030321,2.0,U,CALIFORNIA NORTH AREA,Y
3052,1030330,4.0,U,OHIO AREA,Y
3053,1030337,0.0,U,CENTRAL-SOUTH TEXAS AREA,Y
3054,1030345,0.0,Y,OHIO AREA,Y
3055,1030346,2.333333333,U,DC-MARYLAND-VIRGINIA AREA,Y
3056,1030359,0.0,U,NORTH FLORIDA AREA,Y
3057,1030361,0.0,U,PHILADELPHIA AREA,Y
3058,1030375,2.333333333,U,ATLANTIC SOUTH AREA,Y
3059,1030376,0.0,N,DALLAS AREA,Y
3060,1030379,0.0,U,DC-MARYLAND-VIRGINIA AREA,Y
3061,1030391,0.0,U,NEW YORK CITY AREA,Y
3062,1030396,1.666666667,N,HOUSTON AREA,Y
3063,1030403,0.0,Y,SOUTH FLORIDA AREA,Y
3064,1030419,0.0,U,MIDWEST AREA,Y
3065,1030437,0.0,U,NORTH FLORIDA AREA,Y
3066,1030440,2.666666667,U,MIDWEST AREA,Y
3067,1030445,0.0,Y,NEW ENGLAND AREA,Y
3068,1030451,0.0,U,DC-MARYLAND-VIRGINIA AREA,Y
3069,1030456,0.333333333,Y,MIDWEST AREA,Y
3070,1030459,2.666666667,Y,CHICAGO AREA,Y
3071,1030465,0.0,N,OHIO AREA,Y
3072,1030474,5.0,U,TENNESSEE AREA,Y
3073,1030490,0.666666667,Y,NEW YORK CITY AREA,Y
3074,1030502,0.666666667,Y,CHICAGO AREA,Y
3075,1030506,6.333333333,U,CHICAGO AREA,N
3076,1030522,2.666666667,U,ATLANTIC SOUTH AREA,Y
3077,1030527,0.0,U,LOS ANGELES AREA,Y
3078,1030534,1.0,U,OHIO AREA,Y
3079,1030545,0.0,Y,DALLAS AREA,Y
3080,1030546,0.0,U,LOS ANGELES AREA,N
3081,1030550,0.0,U,SOUTHWEST AREA,Y
3082,1030572,1.0,N,NORTH FLORIDA AREA,N
3083,1030614,0.0,U,ATLANTIC SOUTH AREA,Y
3084,1030622,0.0,Y,SOUTHWEST AREA,N
3085,1030630,0.0,U,CHICAGO AREA,N
3086,1030631,0.0,U,NORTHWEST-ROCKY MOUNTAIN AREA,Y
3087,1030637,0.0,U,MIDWEST AREA,Y
3088,1030639,0.0,U,NEW YORK CITY AREA,Y
3089,1030644,0.333333333,U,NEW ENGLAND AREA,Y
3090,1030676,16.0,U,DC-MARYLAND-VIRGINIA AREA,N
3091,1030682,0.0,U,ATLANTIC SOUTH AREA,Y
3092,1030683,0.0,U,NORTH FLORIDA AREA,N
3093,1030695,2.0,N,SOUTH FLORIDA AREA,N
3094,1030697,0.0,U,ATLANTIC SOUTH AREA,Y
3095,1030699,9.0,N,NEW YORK CITY AREA,Y
